"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH10",2017,2017-07-23,"gammarus or onisimus","Amphipod",NA,NA,"Fourhorn",6.6,17,"I",NA,4,NA,NA,NA
"FH105",2017,2017-08-07,"gammarus sp.","Gammarus sp.",20,NA,"Fourhorn",15.3,33.9,"M",NA,2,0.5,0.5,NA
"FH106",2017,2017-08-07,"amphipods","Amphipod",12,NA,"Fourhorn",14.7,25.5,"M",NA,2,0.6,1.4,NA
"FH106",2017,2017-08-07,"onisimus","Onisimus sp.",10,NA,"Fourhorn",14.7,25.5,"M",NA,2,0.6,1.4,NA
"FH106",2017,2017-08-07,"gammarus","Gammarus sp.",2,NA,"Fourhorn",14.7,25.5,"M",NA,2,0.6,1.4,NA
"FH11",2017,2017-07-23,"empty","Empty",NA,NA,"Fourhorn",27.2,225.7,"F",NA,1,NA,NA,NA
"FH12",2017,2017-07-23,"gammarus or onisimus","Amphipod",NA,NA,"Fourhorn",25.3,147.6,"M",NA,3,NA,NA,NA
"FH13",2017,2017-07-24,"gammarus or onisimus","Amphipod",40,NA,"Fourhorn",15.5,57.1,"F",NA,5,NA,NA,NA
"FH141",2017,2017-08-09,"amphipod","Amphipod",1,NA,"Fourhorn",17.5,48.4,"Unknown",NA,3,0.7,0.8,NA
"FH141",2017,2017-08-09,"krill","Krill",12,NA,"Fourhorn",17.5,48.4,"Unknown",NA,3,0.7,0.8,NA
"FH142",2017,2017-08-09,"amphipods","Amphipod",2,NA,"Fourhorn",25.5,150.2,"M",NA,1,3.8,8.8,NA
"FH143",2017,2017-08-09,"amphipod","Amphipod",1,NA,"Fourhorn",20,68.1,"M",NA,2,2.4,1.6,NA
"FH143",2017,2017-08-09,"krill","Krill",3,NA,"Fourhorn",20,68.1,"M",NA,2,2.4,1.6,NA
"FH143",2017,2017-08-09,"unidentified digesta","Digested",NA,NA,"Fourhorn",20,68.1,"M",NA,2,2.4,1.6,NA
"FH144",2017,2017-08-09,"copepods","Copepod",5,NA,"Fourhorn",20.5,69.2,"F",NA,1,1.6,3.6,NA
"FH145",2017,2017-08-09,"nothing","Empty",NA,NA,"Fourhorn",18,48,"M",NA,1,1.5,0.9,NA
"FH151",2017,2017-08-10,"krill","Krill",20,NA,"Fourhorn",18,50.1,"M",NA,3,1.1,1.1,NA
"FH151",2017,2017-08-10,"copepods","Copepod",2,NA,"Fourhorn",18,50.1,"M",NA,3,1.1,1.1,NA
"FH154",2017,2017-08-10,"krill","Krill",4,NA,"Fourhorn",18.8,59.7,"M",NA,2,2.2,0.3,NA
"FH154",2017,2017-08-10,"amphipods","Amphipod",5,NA,"Fourhorn",18.8,59.7,"M",NA,2,2.2,0.3,NA
"FH155",2017,2017-08-10,"krill","Krill",4,NA,"Fourhorn",26.5,231.6,"F",NA,1,14.9,21.2,NA
"FH156",2017,2017-08-10,"gammarids","Gammarus sp.",100,NA,"Fourhorn",27.2,280.8,"F",NA,5,13.2,11.7,NA
"FH156",2017,2017-08-10,"onisimus","Onisimus sp.",NA,NA,"Fourhorn",27.2,280.8,"F",NA,5,13.2,11.7,NA
"FH156",2017,2017-08-10,"krill","Krill",15,NA,"Fourhorn",27.2,280.8,"F",NA,5,13.2,11.7,NA
