"Fish_ID","Date","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Year","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"S22",2017-08-02,"Slimy",14,18.3,"F",NA,4,"2017",0.6,0.3,NA
"FH79",2017-08-02,"Fourhorn",24,84.8,"F",NA,3,"2017",3.4,3,NA
"FH78",2017-08-02,"Fourhorn",23.3,114.4,"F",NA,2,"2017",5.7,3.6,NA
"S31",2017-08-03,"Slimy",15.6,45.4,"F",NA,4,"2017",1.9,1.3,NA
"S30",2017-08-03,"Slimy",15.4,49.3,"F",NA,4,"2017",2.3,1.3,NA
"S26",2017-08-03,"Slimy",16,59.7,"F",NA,1,"2017",3.3,1.9,NA
"S24",2017-08-03,"Slimy",17.7,69.7,"F",NA,3,"2017",3.5,2.3,NA
"S29",2017-08-03,"Slimy",17.6,72.2,"F",NA,4,"2017",3.5,2.2,NA
"S28",2017-08-03,"Slimy",18,73.4,"F",NA,3,"2017",3,3.8,NA
"S25",2017-08-03,"Slimy",17.7,73.7,"F",NA,4,"2017",3.8,3.7,NA
"S27",2017-08-03,"Slimy",17.7,80,"F",NA,3,"2017",3.6,3.1,NA
"FH83",2017-08-03,"Fourhorn",26.5,184,"F",NA,3,"2017",10,12.2,NA
"FH82",2017-08-03,"Fourhorn",29,277.2,"F",NA,3,"2017",17.3,23,NA
"FH315",2017-09-03,"Fourhorn",18.2,64.6,"F",NA,5,"2017",1.6,0.9,NA
"FH144",2017-08-09,"Fourhorn",20.5,69.2,"F",NA,1,"2017",1.6,3.6,NA
"FH155",2017-08-10,"Fourhorn",26.5,231.6,"F",NA,1,"2017",14.9,21.2,NA
"FH157",2017-08-10,"Fourhorn",28,235.5,"F",NA,2,"2017",18.1,19.4,NA
"FH156",2017-08-10,"Fourhorn",27.2,280.8,"F",NA,5,"2017",13.2,11.7,NA
"S40",2017-08-12,"Slimy",14.4,35.2,"F",NA,3,"2017",0.8,0.7,NA
"S41",2017-08-12,"Slimy",14.8,43,"F",NA,4,"2017",1.3,0.9,NA
"FH181",2017-08-13,"Fourhorn",17.2,40.8,"F",NA,3,"2017",0.9,0.5,NA
"S47",2017-08-13,"Slimy",15.9,65.8,"F",NA,5,"2017",2.7,1.7,NA
"S48",2017-08-13,"Slimy",22.1,126.3,"F",NA,2,"2017",2.3,2.2,NA
"S49",2017-08-14,"Slimy",17.5,68.5,"F",NA,5,"2017",2.7,1.9,NA
"S50",2017-08-15,"Slimy",17.4,78.7,"F",NA,5,"2017",2.4,2,NA
"S59",2017-08-16,"Slimy",14,37.7,"F",NA,5,"2017",0.4,0.5,NA
"FH197",2017-08-16,"Fourhorn",26.2,217.5,"F",NA,2,"2017",13.9,21.8,NA
"FH225",2017-08-17,"Fourhorn",14,23.6,"F",NA,3,"2017",0.6,NA,NA
"FH224",2017-08-17,"Fourhorn",17.9,49.9,"F",NA,4,"2017",1.1,0.9,NA
"FH223",2017-08-17,"Fourhorn",20.1,73.8,"F",NA,3,"2017",2.3,1.6,NA
"FH222",2017-08-17,"Fourhorn",21.7,105.5,"F",NA,4,"2017",4.7,6.6,NA
"FH221",2017-08-17,"Fourhorn",21.2,NA,"F",NA,2,"2017",2.2,1.4,NA
"S66",2017-08-18,"Slimy",14.4,35.9,"F",NA,4,"2017",1.6,0.8,NA
"FH232",2017-08-18,"Fourhorn",28.1,278.4,"F",NA,3,"2017",17.8,24.5,NA
"FH237",2017-08-19,"Fourhorn",24,103.9,"F",NA,2,"2017",4.3,4.3,NA
"FH234",2017-08-19,"Fourhorn",27.5,212.2,"F",NA,2,"2017",10.5,15.4,NA
"FH249",2017-08-21,"Fourhorn",26.4,192.1,"F",NA,3,"2017",15.4,18.9,NA
"S85",2017-08-22,"Slimy",16,50.5,"F",NA,1,"2017",1.7,1.1,NA
"S84",2017-08-22,"Slimy",15.5,52.8,"F",NA,3,"2017",2.3,1.6,NA
"S86",2017-08-22,"Slimy",21.5,107.3,"F",NA,4,"2017",2.1,1,NA
"FH7",2017-07-23,"Fourhorn",19,69,"F",NA,5,"2017",NA,NA,NA
"FH11",2017-07-23,"Fourhorn",27.2,225.7,"F",NA,1,"2017",NA,NA,NA
"S87",2017-08-23,"Slimy",19.9,116.3,"F",NA,4,"2017",6.5,8,NA
"S2",2017-07-24,"Slimy",13.2,33.3,"F",NA,4,"2017",1.4,0.5,NA
"FH13",2017-07-24,"Fourhorn",15.5,57.1,"F",NA,5,"2017",NA,NA,NA
"FH22",2017-07-24,"Fourhorn",20.7,74.2,"F",NA,2,"2017",3.1,2.3,NA
"FH20",2017-07-24,"Fourhorn",22.2,99.8,"F",NA,3,"2017",3.5,2,NA
"FH18",2017-07-24,"Fourhorn",21,100,"F",NA,5,"2017",NA,NA,NA
"FH258",2017-08-24,"Fourhorn",7,5,"F",NA,5,"2017",0.5,NA,NA
"S6",2017-08-25,"Slimy",14.6,42,"F",NA,2,"2017",1.3,0.9,NA
"S4",2017-08-25,"Slimy",15.8,55.5,"F",NA,3,"2017",1.9,1.9,NA
"S13",2017-07-26,"Slimy",16,59.2,"F",NA,4,"2017",2.7,1.9,NA
"FH28",2017-07-26,"Fourhorn",25.4,175,"F",NA,3,"2017",9.5,9.6,NA
