Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
Char 08,2017,7/25/17,Arctic char,40,500,NA,2,F,9.5,0.9,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 09,2017,7/25/17,Arctic char,65.2,2505,NA,2,M,44.3,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 112,2017,8/14/17,Arctic char,29.5,237.2,NA,3,F,5.3,0.5,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 116,2017,8/14/17,Arctic char,NA,NA,NA,2,F,34.5,25.6,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 121,2017,8/14/17,Arctic char,65.2,2700,NA,3,M,43.2,2.4,NA,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Char 126,2017,8/14/17,Arctic char,NA,3600,NA,4,M,81.5,4.7,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Char 129,2017,8/14/17,Arctic char,38.5,550,NA,2,M,10.5,0.4,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Char 132,2017,8/14/17,Arctic char,59,1300,NA,4,F,27,NA,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Char 138,2017,8/15/17,Arctic char,17,41.2,NA,3,I,0.8,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 150,2017,8/22/17,Arctic char,79.5,4850,NA,2,F,166.5,56.2,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Char 154,2017,9/1/17,Arctic char,81.3,5100,NA,1,M,72.2,9.7,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Char 156,2017,9/4/17,Arctic char,16,34.6,NA,3,M,0.5,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Char 54,2017,8/7/17,Arctic char,33.2,8.2,NA,2,I,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Char 56,2017,8/7/17,Arctic char,71,3400,NA,4,M,56.4,0.3,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Char 58,2017,8/8/17,Arctic char,58,1550,NA,NA,M,22.3,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
