Fish_ID,Year,Date,Content,Category,Count,Mass,Species,TL_mm,Mass_g,Sex,Diet_Mass_g,GutFullness,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g
Char 08,2017,7/25/17,amphipods,Amphipod,2,NA,Arctic char,40,500,F,NA,2,9.5,0.9,NA
Char 08,2017,7/25/17,gammaracanthus,Gammaracanthus sp.,1,NA,Arctic char,40,500,F,NA,2,9.5,0.9,NA
Char 09,2017,7/25/17,amphipods,Amphipod,NA,NA,Arctic char,65.2,2505,M,NA,2,44.3,NA,NA
Char 112,2017,8/14/17,krill,Krill,NA,NA,Arctic char,29.5,237.2,F,NA,3,5.3,0.5,NA
Char 112,2017,8/14/17,amphipod,Amphipod,2,NA,Arctic char,29.5,237.2,F,NA,3,5.3,0.5,NA
Char 116,2017,8/14/17,fish,Fish,NA,NA,Arctic char,NA,NA,F,NA,2,34.5,25.6,NA
Char 116,2017,8/14/17,krill,Krill,5,NA,Arctic char,NA,NA,F,NA,2,34.5,25.6,NA
Char 116,2017,8/14/17,gammarus sp.,Gammarus sp.,20,NA,Arctic char,NA,NA,F,NA,2,34.5,25.6,NA
Char 116,2017,8/14/17,copepod,Copepod,100,NA,Arctic char,NA,NA,F,NA,2,34.5,25.6,NA
Char 121,2017,8/14/17,fish,Fish,2,NA,Arctic char,65.2,2700,M,NA,3,43.2,2.4,NA
Char 121,2017,8/14/17,onisimus sp.,Onisimus sp.,125,NA,Arctic char,65.2,2700,M,NA,3,43.2,2.4,NA
Char 121,2017,8/14/17,sand fleas,Amphipod,240,NA,Arctic char,65.2,2700,M,NA,3,43.2,2.4,NA
Char 121,2017,8/14/17,gammarus sp.,Gammarus sp.,1,NA,Arctic char,65.2,2700,M,NA,3,43.2,2.4,NA
Char 123,2017,8/14/17,empty,Empty,NA,NA,Arctic char,62,2000,M,NA,1,33.1,5.9,NA
Char 126,2017,8/14/17,sand lance,Sand lance,2,NA,Arctic char,NA,3600,M,NA,4,81.5,4.7,NA
Char 126,2017,8/14/17,cod,Arctic cod,6,NA,Arctic char,NA,3600,M,NA,4,81.5,4.7,NA
Char 126,2017,8/14/17,sand fleas,Amphipod,250,NA,Arctic char,NA,3600,M,NA,4,81.5,4.7,NA
Char 129,2017,8/14/17,amphipod,Amphipod,1,NA,Arctic char,38.5,550,M,NA,2,10.5,0.4,NA
Char 129,2017,8/14/17,digested,Digested,NA,NA,Arctic char,38.5,550,M,NA,2,10.5,0.4,NA
