Fish_ID,Date,Species,TL_mm,Mass_g,Sex,Diet_Mass_g,GutFullness,Year,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,Comments
S22,8/2/17,Slimy,14,18.3,F,NA,4,2017,0.6,0.3,NA,
FH79,8/2/17,Fourhorn,24,84.8,F,NA,3,2017,3.4,3,NA,
FH78,8/2/17,Fourhorn,23.3,114.4,F,NA,2,2017,5.7,3.6,NA,
S31,8/3/17,Slimy,15.6,45.4,F,NA,4,2017,1.9,1.3,NA,
S30,8/3/17,Slimy,15.4,49.3,F,NA,4,2017,2.3,1.3,NA,
S26,8/3/17,Slimy,16,59.7,F,NA,1,2017,3.3,1.9,NA,
S24,8/3/17,Slimy,17.7,69.7,F,NA,3,2017,3.5,2.3,NA,
S29,8/3/17,Slimy,17.6,72.2,F,NA,4,2017,3.5,2.2,NA,
S28,8/3/17,Slimy,18,73.4,F,NA,3,2017,3,3.8,NA,
S25,8/3/17,Slimy,17.7,73.7,F,NA,4,2017,3.8,3.7,NA,
S27,8/3/17,Slimy,17.7,80,F,NA,3,2017,3.6,3.1,NA,
FH83,8/3/17,Fourhorn,26.5,184,F,NA,3,2017,10,12.2,NA,
FH82,8/3/17,Fourhorn,29,277.2,F,NA,3,2017,17.3,23,NA,
FH315,9/3/17,Fourhorn,18.2,64.6,F,NA,5,2017,1.6,0.9,NA,
FH144,8/9/17,Fourhorn,20.5,69.2,F,NA,1,2017,1.6,3.6,NA,
FH155,8/10/17,Fourhorn,26.5,231.6,F,NA,1,2017,14.9,21.2,NA,
FH157,8/10/17,Fourhorn,28,235.5,F,NA,2,2017,18.1,19.4,NA,
FH156,8/10/17,Fourhorn,27.2,280.8,F,NA,5,2017,13.2,11.7,NA,
S40,8/12/17,Slimy,14.4,35.2,F,NA,3,2017,0.8,0.7,NA,
S41,8/12/17,Slimy,14.8,43,F,NA,4,2017,1.3,0.9,NA,
FH181,8/13/17,Fourhorn,17.2,40.8,F,NA,3,2017,0.9,0.5,NA,
S47,8/13/17,Slimy,15.9,65.8,F,NA,5,2017,2.7,1.7,NA,
S48,8/13/17,Slimy,22.1,126.3,F,NA,2,2017,2.3,2.2,NA,
S49,8/14/17,Slimy,17.5,68.5,F,NA,5,2017,2.7,1.9,NA,
S50,8/15/17,Slimy,17.4,78.7,F,NA,5,2017,2.4,2,NA,
S59,8/16/17,Slimy,14,37.7,F,NA,5,2017,0.4,0.5,NA,
FH197,8/16/17,Fourhorn,26.2,217.5,F,NA,2,2017,13.9,21.8,NA,
FH225,8/17/17,Fourhorn,14,23.6,F,NA,3,2017,0.6,NA,NA,
FH224,8/17/17,Fourhorn,17.9,49.9,F,NA,4,2017,1.1,0.9,NA,
FH223,8/17/17,Fourhorn,20.1,73.8,F,NA,3,2017,2.3,1.6,NA,
FH222,8/17/17,Fourhorn,21.7,105.5,F,NA,4,2017,4.7,6.6,NA,
FH221,8/17/17,Fourhorn,21.2,NA,F,NA,2,2017,2.2,1.4,NA,
S66,8/18/17,Slimy,14.4,35.9,F,NA,4,2017,1.6,0.8,NA,
FH232,8/18/17,Fourhorn,28.1,278.4,F,NA,3,2017,17.8,24.5,NA,
FH237,8/19/17,Fourhorn,24,103.9,F,NA,2,2017,4.3,4.3,NA,
FH234,8/19/17,Fourhorn,27.5,212.2,F,NA,2,2017,10.5,15.4,NA,
FH249,8/21/17,Fourhorn,26.4,192.1,F,NA,3,2017,15.4,18.9,NA,
S85,8/22/17,Slimy,16,50.5,F,NA,1,2017,1.7,1.1,NA,
S84,8/22/17,Slimy,15.5,52.8,F,NA,3,2017,2.3,1.6,NA,
S86,8/22/17,Slimy,21.5,107.3,F,NA,4,2017,2.1,1,NA,
FH7,7/23/17,Fourhorn,19,69,F,NA,5,2017,NA,NA,NA,
FH11,7/23/17,Fourhorn,27.2,225.7,F,NA,1,2017,NA,NA,NA,
S87,8/23/17,Slimy,19.9,116.3,F,NA,4,2017,6.5,8,NA,
S2,7/24/17,Slimy,13.2,33.3,F,NA,4,2017,1.4,0.5,NA,
FH13,7/24/17,Fourhorn,15.5,57.1,F,NA,5,2017,NA,NA,NA,
FH22,7/24/17,Fourhorn,20.7,74.2,F,NA,2,2017,3.1,2.3,NA,
FH20,7/24/17,Fourhorn,22.2,99.8,F,NA,3,2017,3.5,2,NA,
FH18,7/24/17,Fourhorn,21,100,F,NA,5,2017,NA,NA,NA,
FH258,8/24/17,Fourhorn,7,5,F,NA,5,2017,0.5,NA,NA,
S6,8/25/17,Slimy,14.6,42,F,NA,2,2017,1.3,0.9,NA,
S4,8/25/17,Slimy,15.8,55.5,F,NA,3,2017,1.9,1.9,NA,
S13,7/26/17,Slimy,16,59.2,F,NA,4,2017,2.7,1.9,NA,
